tag	id	drop_type	drop_anim_type	drop_radius	drop_height	UNK_0	drop_mesh	drop_tex	icon[0]	icon[1]	icon[2]	icon[3]	icon[4]	durability	weight	material	crystallizable	UNK_1	body_part	m_HumnFigh_cntm	m_HumnFigh_m[0]	m_HumnFigh_m[1]	m_HumnFigh_cntt	m_HumnFigh_t[0]	m_HumnFigh_t[1]	f_HumnFigh_cntm	f_HumnFigh_m[0]	f_HumnFigh_m[1]	f_HumnFigh_cntt	f_HumnFigh_t[0]	f_HumnFigh_t[1]	m_DarkElf_cntm	m_DarkElf_m[0]	m_DarkElf_m[1]	m_DarkElf_cntt	m_DarkElf_t[0]	m_DarkElf_t[1]	f_DarkElf_cntm	f_DarkElf_m[0]	f_DarkElf_m[1]	f_DarkElf_cntt	f_DarkElf_t[0]	f_DarkElf_t[1]	m_Dorf_cntm	m_Dorf_m[0]	m_Dorf_m[1]	m_Dorf_cntt	m_Dorf_t[0]	m_Dorf_t[1]	f_Dorf_cntm	f_Dorf_m[0]	f_Dorf_m[1]	f_Dorf_cntt	f_Dorf_t[0]	f_Dorf_t[1]	m_Elf_cntm	m_Elf_m[0]	m_Elf_m[1]	m_Elf_cntt	m_Elf_t[0]	m_Elf_t[1]	f_Elf_cntm	f_Elf_m[0]	f_Elf_m[1]	f_Elf_cntt	f_Elf_t[0]	f_Elf_t[1]	m_HumnMyst_cntm	m_HumnMyst_m[0]	m_HumnMyst_m[1]	m_HumnMyst_cntt	m_HumnMyst_t[0]	m_HumnMyst_t[1]	f_HumnMyst_cntm	f_HumnMyst_m[0]	f_HumnMyst_m[1]	f_HumnMyst_cntt	f_HumnMyst_t[0]	f_HumnMyst_t[1]	m_OrcFigh_cntm	m_OrcFigh_m[0]	m_OrcFigh_m[1]	m_OrcFigh_cntt	m_OrcFigh_t[0]	m_OrcFigh_t[1]	f_OrcFigh_cntm	f_OrcFigh_m[0]	f_OrcFigh_m[1]	f_OrcFigh_cntt	f_OrcFigh_t[0]	f_OrcFigh_t[1]	m_OrcMage_cntm	m_OrcMage_m[0]	m_OrcMage_m[1]	m_OrcMage_cntt	m_OrcMage_t[0]	m_OrcMage_t[1]	f_OrcMage_cntm	f_OrcMage_m[0]	f_OrcMage_m[1]	f_OrcMage_cntt	f_OrcMage_t[0]	f_OrcMage_t[1]	Unknown_MT_cntm	Unknown_MT_m[0]	Unknown_MT_cntt	Unknown_MT_t[0]	NPC_MT_cntm	NPC_MT_m[0]	NPC_MT_cntt	NPC_MT_t[0]	att_eff	item_sound_cnt	item_sound[0]	item_sound[1]	item_sound[2]	item_sound[3]	drop_sound	equip_sound	armor_type	crystal_type	avoid_mod	pdef	mdef	mpbonus
1	21	0	3	7	0	0	dropitems.drop_mfighter_m001_t02_u_m00	MFighter.MFighter_m001_t02_u					icon.armor_t02_u_i00	90	4830	17	0	44889960	10	1	LineageWarriors.MFighter_m001_u		1	MFighter.MFighter_m001_t02_u		1	LineageWarriors.FFighter_m001_u		1	FFighter.FFighter_m001_t02_u		1	LineageWarriors.MDarkElf_m001_u		1	MDarkElf.MDarkElf_m001_t02_u		1	LineageWarriors.FDarkElf_m001_u		1	FDarkElf.FDarkElf_m001_t02_u		1	LineageWarriors.MDwarf_m001_u		1	MDwarf.MDwarf_m001_t02_u		1	LineageWarriors.FDwarf_m001_u		1	FDwarf.FDwarf_m001_t02_u		1	LineageWarriors.MElf_m001_u		1	MElf.MElf_m001_t02_u		1	LineageWarriors.FElf_m001_u		1	FElf.FElf_m001_t02_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t02_u		1	LineageWarriors.FMagic_m003_u		1	FMagic.FMagic_m003_t02_u		1	LineageWarriors.MOrc_m001_u		1	MOrc.MOrc_m001_t02_u		1	LineageWarriors.FOrc_m001_u		1	FOrc.FOrc_m001_t02_u		1	LineageWarriors.MShaman_m001_u		1	MShaman.MShaman_m001_t02_u		1	LineageWarriors.FShaman_m001_u		1	FShaman.FShaman_m001_t02_u		0		0		1		1		LineageEffect.p_u002_a	4	MonSound.Hit_normal_3	MonSound.Hit_normal_12	MonSound.Hit_wood_1	MonSound.Hit_Shell_1	ItemSound.itemdrop_armor_cloth	ItemSound.itemequip_armor_cloth	1	0	0	36	0	0
1	22	0	3	7	0	0	dropitems.drop_mfighter_m001_t04_u_m00	MFighter.MFighter_m001_t04_u					icon.armor_t04_u_i00	90	4830	19	0	40956784	10	1	LineageWarriors.MFighter_m001_u		1	MFighter.MFighter_m001_t04_u		1	LineageWarriors.FFighter_m001_u		1	FFighter.FFighter_m001_t04_u		1	LineageWarriors.MDarkElf_m001_u		1	MDarkElf.MDarkElf_m001_t04_u		1	LineageWarriors.FDarkElf_m001_u		1	FDarkElf.FDarkElf_m001_t04_u		1	LineageWarriors.MDwarf_m001_u		1	MDwarf.MDwarf_m001_t04_u		1	LineageWarriors.FDwarf_m001_u		1	FDwarf.FDwarf_m001_t04_u		1	LineageWarriors.MElf_m001_u		1	MElf.MElf_m001_t04_u		1	LineageWarriors.FElf_m001_u		1	FElf.FElf_m001_t04_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t04_u		1	LineageWarriors.FMagic_m003_u		1	FMagic.FMagic_m003_t04_u		1	LineageWarriors.MOrc_m001_u		1	MOrc.MOrc_m001_t04_u		1	LineageWarriors.FOrc_m001_u		1	FOrc.FOrc_m001_t04_u		1	LineageWarriors.MShaman_m001_u		1	MShaman.MShaman_m001_t04_u		1	LineageWarriors.FShaman_m001_u		1	FShaman.FShaman_m001_t04_u		0		0		1		1		LineageEffect.p_u002_a	4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_leather_4	MonSound.Hit_Shell_1	ItemSound.itemdrop_armor_leather	ItemSound.itemequip_armor_leather	1	0	0	43	0	0
1	23	0	3	7	0	0	dropitems.drop_mfighter_m001_t06_u_m00	mfighter.mfighter_m001_t06_u					icon.armor_t06_u_i00	90	4820	13	0	0	10	1	LineageWarriors.MFighter_m001_u		1	mfighter.mfighter_m001_t06_u		1	LineageWarriors.FFighter_m001_u		1	FFighter.FFighter_m001_t06_u		1	LineageWarriors.MDarkElf_m005_u		1	MDarkElf.MDarkElf_m005_t06_u		1	LineageWarriors.FDarkElf_m001_u		1	FDarkElf.FDarkElf_m001_t06_u		1	LineageWarriors.MDwarf_m001_u		1	MDwarf.MDwarf_m001_t06_u		1	LineageWarriors.FDwarf_m005_u		1	FDwarf.FDwarf_m005_t06_u		1	LineageWarriors.MElf_m001_u		1	MElf.MElf_m001_t06_u		1	LineageWarriors.FElf_m001_u		1	FElf.FElf_m001_t06_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t06_u		1	LineageWarriors.FMagic_m002_u		1	FMagic.FMagic_m002_t06_u		1	LineageWarriors.MOrc_m001_u		1	MOrc.MOrc_m001_t06_u		1	LineageWarriors.FOrc_m001_u		1	FOrc.FOrc_m001_t06_u		1	LineageWarriors.MShaman_m001_u		1	MShaman.MShaman_m001_t06_u		1	LineageWarriors.FShaman_m001_u		1	FShaman.FShaman_m001_t06_u		0		0		1		1		LineageEffect.p_u002_a	4	MonSound.Hit_normal_3	ItemSound.shield_wood_3	MonSound.Hit_wood_1	MonSound.Hit_Shell_1	ItemSound.itemdrop_armor_leather	ItemSound.itemequip_armor_leather	1	0	0	45	0	0
1	24	0	3	8	3	0	dropitems.drop_mfighter_m002_t32_u_m00	mfighter.mfighter_m002_t32_u					icon.armor_t32_u_i00	85	4770	14	0	32651920	10	1	LineageWarriors.MFighter_m002_u		1	mfighter.mfighter_m002_t32_u		1	LineageWarriors.FFighter_m002_u		1	FFighter.FFighter_m002_t32_u		1	LineageWarriors.MDarkElf_m005_u		1	MDarkElf.MDarkElf_m005_t32_u		1	LineageWarriors.FDarkElf_m005_u		1	FDarkElf.FDarkElf_m005_t32_u		1	LineageWarriors.MDwarf_m003_u		1	MDwarf.MDwarf_m003_t32_u		1	LineageWarriors.FDwarf_m003_u		1	FDwarf.FDwarf_m003_t32_u		1	LineageWarriors.MElf_m005_u		1	MElf.MElf_m005_t32_u		1	LineageWarriors.FElf_m001_u		1	FElf.FElf_m001_t32_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t32_u		1	LineageWarriors.FMagic_m004_u		1	FMagic.FMagic_m004_t32_u		1	LineageWarriors.MOrc_m003_u		1	MOrc.MOrc_m003_t32_u		1	LineageWarriors.FOrc_m003_u		1	FOrc.FOrc_m003_t32_u		1	LineageWarriors.MShaman_m003_u		1	MShaman.MShaman_m003_t32_u		1	LineageWarriors.FShaman_m003_u		1	FShaman.FShaman_m003_t32_u		0		0		1		1		LineageEffect.p_u002_a	4	ItemSound.shield_bone_1	MonSound.Hit_normal_12	ItemSound.shield_leather_1	MonSound.Hit_Shell_1	ItemSound.itemdrop_armor_lightmetal	ItemSound.itemequip_armor_lightmetal	1	0	0	50	0	0
1	25	0	3	7	0	0	dropitems.drop_mfighter_m001_t33_u_m00	mfighter.mfighter_m001_t33_u					icon.armor_t33_u_i00	85	8970	14	0	34819752	10	1	LineageWarriors.MFighter_m001_u		1	mfighter.mfighter_m001_t33_u		1	LineageWarriors.FFighter_m001_u		1	FFighter.FFighter_m001_t33_u		1	LineageWarriors.MDarkElf_m002_u		1	MDarkElf.MDarkElf_m002_t33_u		1	LineageWarriors.FDarkElf_m003_u		1	FDarkElf.FDarkElf_m003_t33_u		1	LineageWarriors.MDwarf_m003_u		1	MDwarf.MDwarf_m003_t33_u		1	LineageWarriors.FDwarf_m003_u		1	FDwarf.FDwarf_m003_t33_u		1	LineageWarriors.MElf_m005_u		1	MElf.MElf_m005_t33_u		1	LineageWarriors.FElf_m005_u		1	FElf.FElf_m005_t33_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t33_u		1	LineageWarriors.FMagic_m002_u		1	FMagic.FMagic_m002_t33_u		1	LineageWarriors.MOrc_m003_u		1	MOrc.MOrc_m003_t33_u		1	LineageWarriors.FOrc_m003_u		1	FOrc.FOrc_m003_t33_u		1	LineageWarriors.MShaman_m003_u		1	MShaman.MShaman_m003_t33_u		1	LineageWarriors.FShaman_m003_u		1	FShaman.FShaman_m003_t33_u		0		0		1		1		LineageEffect.p_u002_a	4	ItemSound.shield_bone_2	MonSound.Hit_normal_12	ItemSound.shield_leather_1	ItemSound.shield_bone_3	ItemSound.itemdrop_armor_bone	ItemSound.itemequip_armor_bone	2	0	0	62	0	0
1	26	0	3	8	3	0	dropitems.drop_mfighter_m002_t34_u_m00	mfighter.mfighter_m002_t34_u					icon.armor_t34_u_i00	90	8920	6	0	32584048	10	1	LineageWarriors.MFighter_m002_u		1	mfighter.mfighter_m002_t34_u		1	LineageWarriors.FFighter_m002_u		1	FFighter.FFighter_m002_t34_u		1	LineageWarriors.MDarkElf_m005_u		1	MDarkElf.MDarkElf_m005_t34_u		1	LineageWarriors.FDarkElf_m005_u		1	FDarkElf.FDarkElf_m005_t34_u		1	LineageWarriors.MDwarf_m003_u		1	MDwarf.MDwarf_m003_t34_u		1	LineageWarriors.FDwarf_m003_u		1	FDwarf.FDwarf_m003_t34_u		1	LineageWarriors.MElf_m002_u		1	MElf.MElf_m002_t34_u		1	LineageWarriors.FElf_m002_u		1	FElf.FElf_m002_t34_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t34_u		1	LineageWarriors.FMagic_m002_u		1	FMagic.FMagic_m002_t34_u		1	LineageWarriors.MOrc_m003_u		1	MOrc.MOrc_m003_t34_u		1	LineageWarriors.FOrc_m003_u		1	FOrc.FOrc_m003_t34_u		1	LineageWarriors.MShaman_m003_u		1	MShaman.MShaman_m003_t34_u		1	LineageWarriors.FShaman_m003_u		1	FShaman.FShaman_m003_t34_u		0		0		1		1		LineageEffect.p_u002_a	4	ItemSound.shield_steel_2	ItemSound.armor_metal_alt_6	ItemSound.public_armor_03	ItemSound.shield_steel_8	ItemSound.itemdrop_armor_lightmetal	ItemSound.itemequip_armor_lightmetal	2	0	0	68	0	0
1	27	0	3	7	0	0	dropitems.drop_mfighter_m001_t30_u_m00	mfighter.mfighter_m001_t30_u					icon.armor_t30_u_i00	90	4720	19	0	30724728	10	1	LineageWarriors.MFighter_m001_u		1	mfighter.mfighter_m001_t30_u		1	LineageWarriors.FFighter_m001_u		1	FFighter.FFighter_m001_t30_u		1	LineageWarriors.MDarkElf_m001_u		1	MDarkElf.MDarkElf_m001_t30_u		1	LineageWarriors.FDarkElf_m001_u		1	FDarkElf.FDarkElf_m001_t30_u		1	LineageWarriors.MDwarf_m001_u		1	MDwarf.MDwarf_m001_t30_u		1	LineageWarriors.FDwarf_m001_u		1	FDwarf.FDwarf_m001_t30_u		1	LineageWarriors.MElf_m001_u		1	MElf.MElf_m001_t30_u		1	LineageWarriors.FElf_m001_u		1	FElf.FElf_m001_t30_u		1	LineageWarriors.MMagic_m005_u		1	MMagic.MMagic_m005_t30_u		1	LineageWarriors.FMagic_m002_u		1	FMagic.FMagic_m002_t30_u		1	LineageWarriors.MOrc_m002_u		1	MOrc.MOrc_m002_t30_u		1	LineageWarriors.FOrc_m002_u		1	FOrc.FOrc_m002_t30_u		1	LineageWarriors.MShaman_m001_u		1	MShaman.MShaman_m001_t30_u		1	LineageWarriors.FShaman_m001_u		1	FShaman.FShaman_m001_t30_u		0		0		1		1		LineageEffect.p_u002_a	4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_leather_4	MonSound.Hit_Shell_1	ItemSound.itemdrop_armor_leather	ItemSound.itemequip_armor_leather	1	0	0	53	0	0
1	28	0	3	8	1	0	dropitems.drop_mfighter_m001_t02_l_m00	MFighter.MFighter_m001_t02_l					icon.armor_t02_l_i00	90	1740	17	0	45203192	11	1	LineageWarriors.MFighter_m001_l		1	MFighter.MFighter_m001_t02_l		1	LineageWarriors.FFighter_m001_l		1	FFighter.FFighter_m001_t02_l		1	LineageWarriors.MDarkElf_m001_l		1	MDarkElf.MDarkElf_m001_t02_l		1	LineageWarriors.FDarkElf_m001_l		1	FDarkElf.FDarkElf_m001_t02_l		1	LineageWarriors.MDwarf_m001_l		1	MDwarf.MDwarf_m001_t02_l		1	LineageWarriors.FDwarf_m001_l		1	FDwarf.FDwarf_m001_t02_l		1	LineageWarriors.MElf_m001_l		1	MElf.MElf_m001_t02_l		1	LineageWarriors.FElf_m001_l		1	FElf.FElf_m001_t02_l		1	LineageWarriors.MMagic_m003_l		1	MMagic.MMagic_m003_t02_l		1	LineageWarriors.FMagic_m002_l		1	FMagic.FMagic_m002_t02_l		1	LineageWarriors.MOrc_m001_l		1	MOrc.MOrc_m001_t02_l		1	LineageWarriors.FOrc_m001_l		1	FOrc.FOrc_m001_t02_l		1	LineageWarriors.MShaman_m001_l		1	MShaman.MShaman_m001_t02_l		1	LineageWarriors.FShaman_m001_l		1	FShaman.FShaman_m001_t02_l		0		0		1		1		LineageEffect.p_u002_a	1					ItemSound.itemdrop_armor_cloth	ItemSound.itemequip_armor_cloth	1	0	0	22	0	0
1	29	0	3	8	1	0	dropitems.drop_mfighter_m001_t04_l_m00	MFighter.MFighter_m001_t04_l					icon.armor_t04_l_i00	90	1730	19	0	30708096	11	1	LineageWarriors.MFighter_m001_l		1	MFighter.MFighter_m001_t04_l		1	LineageWarriors.FFighter_m001_l		1	FFighter.FFighter_m001_t04_l		1	LineageWarriors.MDarkElf_m001_l		1	MDarkElf.MDarkElf_m001_t04_l		1	LineageWarriors.FDarkElf_m003_l		1	FDarkElf.FDarkElf_m003_t04_l		1	LineageWarriors.MDwarf_m001_l		1	MDwarf.MDwarf_m001_t04_l		1	LineageWarriors.FDwarf_m001_l		1	FDwarf.FDwarf_m001_t04_l		1	LineageWarriors.MElf_m001_l		1	MElf.MElf_m001_t04_l		1	LineageWarriors.FElf_m001_l		1	FElf.FElf_m001_t04_l		1	LineageWarriors.MMagic_m003_l		1	MMagic.MMagic_m003_t04_l		1	LineageWarriors.FMagic_m002_l		1	FMagic.FMagic_m002_t04_l		1	LineageWarriors.MOrc_m001_l		1	MOrc.MOrc_m001_t04_l		1	LineageWarriors.FOrc_m001_l		1	FOrc.FOrc_m001_t04_l		1	LineageWarriors.MShaman_m001_l		1	MShaman.MShaman_m001_t04_l		1	LineageWarriors.FShaman_m001_l		1	FShaman.FShaman_m001_t04_l		0		0		1		1		LineageEffect.p_u002_a	1					ItemSound.itemdrop_armor_leather	ItemSound.itemequip_armor_leather	1	0	0	27	0	0
1	30	0	3	8	1	0	dropitems.drop_mfighter_m001_t06_l_m00	mfighter.mfighter_m001_t06_l					icon.armor_t06_l_i00	90	1700	19	0	44797712	11	1	LineageWarriors.MFighter_m001_l		1	mfighter.mfighter_m001_t06_l		1	LineageWarriors.FFighter_m001_l		1	FFighter.FFighter_m001_t06_l		1	LineageWarriors.MDarkElf_m005_l		1	MDarkElf.MDarkElf_m005_t06_l		1	LineageWarriors.FDarkElf_m003_l		1	FDarkElf.FDarkElf_m003_t06_l		1	LineageWarriors.MDwarf_m001_l		1	MDwarf.MDwarf_m001_t06_l		1	LineageWarriors.FDwarf_m005_l		1	FDwarf.FDwarf_m005_t06_l		1	LineageWarriors.MElf_m001_l		1	MElf.MElf_m001_t06_l		1	LineageWarriors.FElf_m001_l		1	FElf.FElf_m001_t06_l		1	LineageWarriors.MMagic_m005_l		1	MMagic.MMagic_m005_t06_l		1	LineageWarriors.FMagic_m002_l		1	FMagic.FMagic_m002_t06_l		1	LineageWarriors.MOrc_m001_l		1	MOrc.MOrc_m001_t06_l		1	LineageWarriors.FOrc_m001_l		1	FOrc.FOrc_m001_t06_l		1	LineageWarriors.MShaman_m001_l		1	MShaman.MShaman_m001_t06_l		1	LineageWarriors.FShaman_m001_l		1	FShaman.FShaman_m001_t06_l		0		0		1		1		LineageEffect.p_u002_a	1					ItemSound.itemdrop_armor_leather	ItemSound.itemequip_armor_leather	1	0	0	29	0	0
