id	name	add_name	description	popup
17	Wooden Arrow		a,An arrow made of wood. It is an arrow used for a no grade bow.\0	-1
57	Adena		a,	-1
65	Red Potion		a,	-1
686	Chair		a,Chair\0	-1
687	Darin's Letter		a,The love letter that Darin has written to Roxxy. Darin has asked you to deliver this letter to Gatekeeper Roxxy.\0	-1
688	Roxxy's Kerchief		a,Roxxy's handkerchief. This is the reply that Roxxy has given to Darin's letter, and must be delivered to Darin.\0	-1
689	Poetry Book		a,A poetry book treasured by Arujien. The book contains poems that he has written. Take this to Greenis.\0	-1
690	Lyrics Book		a,The lyrics book of Herbien\0	-1
691	Romance Novel		a,A romance novel\0	-1
692	Arujien's Letter		a,Arujien's letter\0	-1
693	Greenis's Letter		a,Greenis's letter, refusing Arujien's love. Take this to Arujien.\0	-1
694	Talos List		a,A list of ingredients: 3 omen beast bloods, 2 mana seeker husks, 2 gargoyle horns\0	-1
695	Omen Beast's Blood		a,The blood of an omen beast.\0	-1
696	Mana Seeker's Husk		a,The husk of a mana seeker.\0	-1
697	Gargoyle's Horn		a,The horn of a gargoyle.\0	-1
698	Gilbert's List		a,A list of things to eliminate: orcs, hobgoblins, walking fungus\0	-1
699	Orc's Nose		a,The nose of an orc.\0	-1
700	Hobgoblin Amulet		a,The amulet of a hobgoblin.\0	-1
701	Fungus Juice		a,The juice of a fungus.\0	-1
702	Wolf Pelt		a,Gather forty wolf pelts and take them to Trader Lector of the weapons and armor shop.\0	-1
703	Poison Sac		a,Poison sacs obtained from the dead giant spider. Take this to Priest Yohanes.\0	-1
704	Fever Medicine		a,A medicine concocted by Priest Yohanes for the students who are ill with fever. Take this to Elias.\0	-1
705	Orc's Amulet		a,An Orc feather amulet.\0	-1
706	Basilisk's Claw		a,A basilisk's claw.\0	-1
707	Spore Sac		a,A sac obtained from the spore fungus. Gather 10 of these and take them to Trader Vollodos.\0	-1
708	Sylph Headband		a,A Sylph Headband\0	-1
709	Leather Shirt		a,	-1
710	Hard Leather Shirt		a,	-1
711	Piece Bone Breastplate		a,	-1
712	Half Plate Armor		a,	-1
713	Leather Pants		a,	-1
714	Hard Leather Pants		a,	-1
715	Piece Bone Gaiters		a,	-1
716	Plate Gaiters		a,	-1
717	Leather Gloves		a,	-1
718	Hard Leather Gloves		a,	-1
719	Excellent Leather Gloves		a,	-1
720	Reinforced Gloves		a,	-1
721	Leather Boots		a,	-1
722	Hard Leather Boots		a,	-1
723	Excellent Leather Boots		a,	-1
724	Reinforced Boots		a,	-1
725	Healing Drug		a,A magical, liquid medicine that restores HP for a certain amount of time.\0	-1
726	Mana Drug		a,A magical, liquid medicine that restores MP for a certain amount of time.\0	-1
727	Healing Potion		a,A magical, liquid medicine that restores HP for a certain amount of time.\0	-1
728	Mana Potion		a,A magical, liquid medicine that restores MP for a certain amount of time.\0	-1
729	Scroll: Enchant Weapon (Grade A)		a,When enchanted, the P. Atk. of  A grade weapons such as sword/one-handed, blunt weapon/one-handed, dagger and spear etc. will increase by 4.  The P. Atk of  sword/two-handed, blunt weapon/two-handed, dualsword, and fist-fighting weapon/two-handed will increase by 5. The P. Atk. of bow weapons will increase by 8. The M. Atk. of all weapons will increase by 3. From +4, P. Atk. and M. Atk. of all weapons will double.\0	-1
730	Scroll: Enchant Armor (Grade A)		a,Increases the P. Def. of an A Grade armor or accessory by 1, and from +4, the P. Def will increase by 3. It can be safely enchanted up to +3. One-piece type armor can be safely enchanted up to +4.\0	-1
731	Crystal Scroll: Enchant Weapon (Grade A)		a,A scroll of enchantment that empowers an A Grade weapon.\0	-1
732	Crystal Scroll: Enchant Armor (Grade A)		a,A scroll of enchantment that empowers an A Grade armor.\0	-1
733	Endeavor Potion		a,A magical, liquid medicine that increases willpower.\0	-1
734	Haste Potion		a,A magical, liquid medicine that increases speed.\0	-1
735	Potion of Alacrity		a,A liquid medicine that increases attack speed.\0	-1
736	Scroll of Escape		a,A scroll of enchantment that relocates you to the nearest village.\0	-1
737	Scroll of Resurrection		a,A scroll of enchantment that resuscitates a dead person.\0	-1
739	Broken Sword Handle		a,The handle portion of the sword of solidarity. Take this to Blacksmith Alltran.\0	-1
740	Broken Blade Bottom		a,Take this, and the upper portion of the blade to Blacksmith Alltran.\0	-1
741	Broken Blade Top		a,Take this, and the lower portion of the blade to Blacksmith Alltran.\0	-1
742	Altran's Note		a,A letter requesting the handle of the sword from Roien. Take this to Grand Master Roien of Cedric's Training Hall.\0	-1
745	Cobendell Medicine		a,	-1
746	Alberius's List		a,Deliver the medicine to Sentinel Berros, Sentinel Veltress, Sentinel Rayen, and Sentinel Gartrandell.\0	-1
750	Kinship Crystal		a,	-1
751	Cracked Kinship Crystal		a,	-1
752	Orc Amulet		a,An amulet that the Orcs carry for magical purposes. Take this to Captain Gilbert.\0	-1
753	Silverleaf Brooch		a,	-1
755	Colleen's Letter		a,	-1
756	Mandragora Root		a,	-1
757	Mandragora Essence		a,	-1
758	Colleen's Receipt		a,	-1
759	Etched Rune Sword		a,	-1
760	Macabre Sword		a,	-1
761	Thanatos Sword		a,	-1
762	Gray Bone Chip		a,	-1
763	Esther's Letter		a,	-1
764	Arbon's Letter		a,	-1
765	Conspirator List		a,	-1
766	Sabrin's Signet		a,	-1
767	Sealed Scroll		a,	-1
768	Oyen's Key		a,	-1
769	Ricardo's Skull		a,	-1
770	Shield of Honor		a,	-1
771	Saythus's Skull		a,	-1
772	Trayer's Skull		a,	-1
773	Falimar's Skull		a,	-1
774	Fallen Sword of Honor		a,	-1
775	Sword of Honor		a,	-1
776	Nameless Sword		a,	-1
777	Sword of Black Ice		a,	-1
778	Arodin's Letter		a,	-1
779	Sabrin's Ring		a,	-1
780	Arbon's Letter		a,	-1
781	Madclaw's Necklace		a,	-1
782	Alex's Letter		a,	-1
783	Alex's Receipt		a,	-1
784	Glass Dagger		a,	-1
785	Broken Glass Dagger		a,	-1
786	Shadowguard Dagger		a,	-1
787	Coroli's Key		a,	-1
788	Midnight Onyx Necklace		a,	-1
789	Song: Moonlight Whisper		a,	-1
790	Bloodsteel Kris		a,	-1
791	Karlun's Skull		a,	-1
792	Karlun's Rib Bone		a,	-1
793	Karlun's Thigh Bone		a,	-1
794	Saint's Ash Urn		a,	-1
795	Mace of Athebaldt		a,	-1
796	Roien's Letter		a,A letter on which Roien summarized the historical information related to the sword of solidarity. Take this to Blacksmith Alltran.\0	-1
797	Manuel's Letter		a,	-1
798	Varan's Letter		a,	-1
799	Groot's Letter		a,	-1
800	Tome of Nassen		a,	-1
801	Cursed Tome of Nassen		a,	-1
802	Bloodthirsty Dagger		a,	-1
803	Bloody Dagger		a,	-1
804	Staff of Shane		a,	-1
805	Pinter's Bill		a,	-1
806	Drake's Claw		a,	-1
807	Flawless Drake's Claw		a,	-1
808	Pushkin's Letter		a,	-1
809	Bone Fragment		a,Bone fragments obtained from the undead skeletons. Collect ten of these and take to Tetrarch Kaitar.\0	-1
810	Altran's Letter		a,	-1
811	Oil Paper		a,	-1
812	Adamantium Ore		a,	-1
813	Heart Stone		a,	-1
814	Pushkin's Receipt		a,	-1
815	Leather Strap		a,	-1
816	Widow Maker		a,	-1
817	Mithril Bottle		a,	-1
818	Grace Unicorn's Horn		a,	-1
819	Drake's Bone		a,	-1
820	Zahak Fluids		a,	-1
821	Bone Knife		a,	-1
822	Drake Knife		a,	-1
823	Dull Dagger		a,	-1
824	Siriel's Note		a,	-1
825	Raien's Letter		a,	-1
826	Silver Spores		a,	-1
827	Star Dust		a,	-1
828	Song of Awakening		a,	-1
829	Spirit Dagger		a,	-1
830	Medallion of Kwyllinas		a,	-1
831	Echo Crystal		a,	-1
832	Green Echo Crystal		a,	-1
833	Red Echo Crystal		a,	-1
834	Aquamarine Echo Crystal		a,	-1
835	Blue Echo Crystal		a,	-1
836	Book of Kwyllinas		a,	-1
837	Fairy Dust		a,	-1
838	Vellior's Letter		a,	-1
839	Icarus's Letter		a,	-1
840	Drevanul Skull		a,	-1
841	Icarus's Order Form		a,	-1
842	Basilisk Ink		a,	-1
843	Book of Aklantoth		a,	-1
844	Book of Aklantoth P1 ~ P10		a,	-1
937	Directions to Ruins		a,Follow the northwestern path from the village, and head west when you meet the Obelisk of Victory. The entrance to the ruins lies at the slope of the mountain.\0	-1
938	Deck		a,	-1
939	Gara's 1st Quest Item		a,	-1
940	Gara's 2nd Quest Item		a,	-1
941	Gara Proof of Bravery		a,	-1
942	Gara Proof of Justice		a,	-1
943	Gara Proof of Despair		a,	-1
944	Deathknight Skull		a,	-1
