id	name	description	rgb[0]	rgb[1]	rgb[2]	reserved1
1	a,Gremlin\0	a,	9C	E8	A9	-1
2	a,Rabbit\0	a,	9C	E8	A9	-1
3	a,Goblin\0	a,	9C	E8	A9	-1
4	a,Imp\0	a,	9C	E8	A9	-1
5	a,Imp Elder\0	a,	9C	E8	A9	-1
6	a,Orc Archer\0	a,	9C	E8	A9	-1
7	a,Green Fungus\0	a,	9C	E8	A9	-1
8	a,Felim Lizardman\0	a,	9C	E8	A9	-1
9	a,Vuku Orc\0	a,	9C	E8	A9	-1
10	a,Felim Lizardman Scout\0	a,	9C	E8	A9	-1
11	a,Vuku Orc Archer\0	a,	9C	E8	A9	-1
12	a,Gora Werewolf\0	a,	9C	E8	A9	-1
13	a,Dryad\0	a,	9C	E8	A9	-1
14	a,Felim Lizardman Warrior\0	a,	9C	E8	A9	-1
15	a,Marsh Zombie\0	a,	9C	E8	A9	-1
16	a,Stone Golem\0	a,	9C	E8	A9	-1
17	a,Vuku Orc Fighter\0	a,	9C	E8	A9	-1
18	a,Carnivorous Fungus\0	a,	9C	E8	A9	-1
19	a,Dryad Elder\0	a,	9C	E8	A9	-1
20	a,Marsh Zombie Lord\0	a,	9C	E8	A9	-1
21	a,Red Bear\0	a,	9C	E8	A9	-1
22	a,Misery Skeleton\0	a,	9C	E8	A9	-1
23	a,Shadow Beast\0	a,	9C	E8	A9	-1
24	a,Langk Lizardman Warrior\0	a,	9C	E8	A9	-1
25	a,Lesser Dark Horror\0	a,	9C	E8	A9	-1
26	a,Ruin Zombie\0	a,	9C	E8	A9	-1
27	a,Langk Lizardman Scout\0	a,	9C	E8	A9	-1
28	a,Pincher\0	a,	9C	E8	A9	-1
29	a,Ruin Zombie Leader\0	a,	9C	E8	A9	-1
30	a,Langk Lizardman\0	a,	9C	E8	A9	-1
31	a,Omen Beast\0	a,	9C	E8	A9	-1
32	a,Pinrul\0	a,	9C	E8	A9	-1
33	a,Shade Horror\0	a,	9C	E8	A9	-1
34	a,Prowler\0	a,	9C	E8	A9	-1
35	a,Tracker Skeleton\0	a,	9C	E8	A9	-1
36	a,Lirein\0	a,	9C	E8	A9	-1
37	a,Mana Seeker\0	a,	9C	E8	A9	-1
38	a,Poison Spider\0	a,	9C	E8	A9	-1
39	a,Scavenger Wererat\0	a,	9C	E8	A9	-1
40	a,Sukar Wererat\0	a,	9C	E8	A9	-1
41	a,Tainted Zombie\0	a,	9C	E8	A9	-1
42	a,Tracker Skeleton Leader\0	a,	9C	E8	A9	-1
43	a,Arachnid Tracker\0	a,	9C	E8	A9	-1
44	a,Lirein Elder\0	a,	9C	E8	A9	-1
45	a,Skeleton Scout\0	a,	9C	E8	A9	-1
