tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt1	tab1[0]	tab1[1]	tab1[2]	tab1[3]	tab1[4]	tab1[5]	tab1[6]	tab1[7]	tab1[8]	tab1[9]	tab1[10]	tab1[11]	tab1[12]	tab1[13]	cnt2	tab2[0]	tab2[1]	tab2[2]	tab2[3]	tab2[4]	tab2[5]	tab2[6]	tab2[7]	tab2[8]	tab2[9]	tab2[10]	tab2[11]	tab2[12]	tab2[13]	quest_x	quest_y	quest_z	UNK_npc1_?	UNK_npc2_?	UNK_npc3_?	npc_name	UNK_0
1	1	1	a,Letters of Love\0	a,Delivery of Love Letters\0	a,Darin of Talking Island Village has fallen in love with Gatekeeper Roxxy. He is too shy to express his feelings and asks you to deliver his love letter to her.\0	0															0															-84108.00000000	244604.00000000	-3729.00000000	2	5	3	a,Gatekeeper Roxxy\0	0
1	1	2	a,Letters of Love\0	a,Roxxy's Kerchief\0	a,Roxxy reads Darin's letter and tells you that she admires him as well. She asks you to deliver her kerchief to him. Take Roxxy's kerchief to Darin in the village square.\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	a,Darin\0	0
1	1	3	a,Letters of Love\0	a,Baulro's Magic Potion\0	a,Darin is overjoyed to learn that Roxxy returns his admiration, and says he wants to ask her for a date. He asks you to go and get a love potion promised to him by Magister Baulro at the temple.\0	0															0															-84729.00000000	245001.00000000	-3726.00000000	2	5	3	a,Magister Baulro\0	0
1	1	4	a,Letters of Love\0	a,Water that Brings Out Courage\0	a,Magister Baulro admits that he deceived Darin about the potion in order to bolster his courage. He gives you a medicine bottle filled with tap water. Take it to Darin in the village square.\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	a,Darin\0	0
1	2	1	a,What Women Want\0	a,Arujien's Letter\0	a,Arujien confesses to you that he has pined for Magister Greenis for a long time. He asks you to find out if Greenis returns his affection. Meet with her younger sister, Gatekeeper Mirabel, and show her Arujien's letter.\0	0															0															46926.00000000	51511.00000000	-2977.00000000	2	5	3	a,Gatekeeper Mirabel\0	0
1	2	2	a,What Women Want\0	a,Uncle Herbiel\0	u,Gatekeeper Mirabel says that she doesn't get involved in her sister’s affairs. She suggests that you ask Trader Herbiel. You will find him in a magic shop. Show him Arujien's Letter.\0	0															0															42766.00000000	50037.00000000	-2984.00000000	2	5	3	a,Trader Herbiel\0	0
1	2	3	a,What Women Want\0	a,Uncle's Advice\0	a,Trader Herbiel thinks that Magister Greenis likes Arujien. Go back to Arujien and give him the good news.\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	a,Arujien\0	0
1	2	4	a,What Women Want\0	a,Feelings that Have Turned into a Poem\0	u,Arujien says that he's written a book of poetry for Greenis. Take Arujien’s poetry book to Magister Greenis.\0	0															0															45000.00000000	52101.00000000	-2795.00000000	2	5	3	a,Magister Greenis\0	0
1	2	5	a,What Women Want\0	a,Letter of Refusal\0	a,Magister Greenis informs you that she loves another. Take Greenis's letter of refusal to Arujian.\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	a,Arujien\0	0
1	3	1	a,Will the Seal be Broken?\0	a,Preparation for a Ritual\0	u,Dark Elven Tetrarch Talloth is studying the dark arts in order to break the seal that binds Mitraell, the leader of the Dark Elves. The first stage of the seal is called the Seal of the Dark Arts of Body. He asks that you bring him an omen beast’s eye, a taint stone and succubus blood. Hunt omen beasts, tainted zombies, stink zombies, lesser succubi, lesser succubus turen and lesser succubus tilfos.\0	3	1081	1082	1083												3	1	1	1												-47120.00000000	59136.00000000	-3328.00000000	16	26	3	a,School of Dark Arts\0	1
1	3	2	a,Will the Seal be Broken?\0	a,Return to Tetrarch Talloth\0	a,You have all the ingredients that Tetrarch Talloth needs to break the seal that binds Mitraell.\0	0															0															11012.00000000	14128.00000000	-4242.00000000	16	26	3	a,Tetrarch Talloth\0	0
