id	level	name	description
3	1	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 25. Over-hit available.\0
3	2	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 27. Over-hit available.\0
3	3	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 30. Over-hit available.\0
3	4	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 39. Over-hit available.\0
3	5	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 42. Over-hit available.\0
3	6	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 46. Over-hit available.\0
3	7	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 60. Over-hit available.\0
3	8	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 65. Over-hit available.\0
3	9	a,Power Strike\0	a,Gathers power for a fierce strike. Usable when a sword or blunt weapon is equipped. Power 70. Over-hit available.\0
4	1	a,Dash\0	a,Temporary burst of speed. Effect 1.\0
4	2	a,Dash\0	a,Temporary burst of speed. Effect 2.\0
16	1	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 73.\0
16	2	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 80.\0
16	3	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 88.\0
16	4	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 115.\0
16	5	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 126.\0
16	6	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 137.\0
16	7	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 178.\0
16	8	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 193.\0
16	9	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 210.\0
16	10	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 268.\0
16	11	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 291.\0
16	12	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 314.\0
16	13	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 367.\0
16	14	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 396.\0
16	15	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 427.\0
16	16	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 494.\0
16	17	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 531.\0
16	18	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 571.\0
16	19	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 656.\0
16	20	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 703.\0
16	21	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 752.\0
16	22	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 859.\0
16	23	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 916.\0
16	24	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. Used with a dagger. Power 977.\0
21	1	a,Poison Recovery\0	a,Self-cures poison. Effect less than 3.\0
21	2	a,Poison Recovery\0	a,Self-cures poison. Effect less than 7.\0
21	3	a,Poison Recovery\0	a,Self-cures poison. Effect less than 9.\0
28	1	a,Aggression\0	a,Provokes opponent's desire to attack. Power 655.\0
28	2	a,Aggression\0	a,Provokes opponent's desire to attack. Power 678.\0
28	3	a,Aggression\0	a,Provokes opponent's desire to attack. Power 702.\0
