tag	id	drop_type	drop_anim_type	drop_radius	drop_height	UNK_0	drop_mesh1	drop_tex1	icon[0]	icon[1]	icon[2]	icon[3]	icon[4]	durability	weight	material	crystallizable	projectile_?	body_part	handness	wpn_mesh_cnt	wpn_mesh[0]	wpn_mesh[1]	wpn_tex_cnt	wpn_tex[0]	wpn_tex[1]	item_sound_cnt	item_sound[0]	item_sound[1]	item_sound[2]	item_sound[3]	drop_sound	equip_sound	effect	random_damage	patt	matt	weapon_type	crystal_type	critical	hit_mod	avoid_mod	shield_pdef	shield_rate	speed	mp_consume	SS_count	SPS_count	curvature	effA	effB	junk1A[0]	junk1A[1]	junk1A[2]	junk1A[3]	junk1A[4]	junk1B[0]	junk1B[1]	junk1B[2]	junk1B[3]	junk1B[4]	rangeA	rangeB	junk2A[0]	junk2A[1]	junk2A[2]	junk2A[3]	junk2A[4]	junk2A[5]	junk2B[0]	junk2B[1]	junk2B[2]	junk2B[3]	junk2B[4]	junk2B[5]
0	1	1	1	7	15	0	LineageWeapons.small_sword_m00_wp	LineageWeaponsTex.small_sword_t00_wp					icon.weapon_small_sword_i00	95	1600	8	0	0	7	1	1	LineageWeapons.small_sword_m00_wp		1	LineageWeaponsTex.small_sword_t00_wp		4	ItemSound.sword_small_1	ItemSound.sword_big_7	ItemSound.sword_mid_6	ItemSound.public_sword_shing_4	ItemSound.itemdrop_sword	ItemSound.itemequip_sword		10	8	6	1	0	8	0	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.94999999	0.55000001	0.55000001	11.00000000	0.00000000	0.00000000						
0	2	1	1	7	10	0	LineageWeapons.long_sword_m00_wp	LineageWeaponsTex.long_sword_t00_wp					icon.weapon_long_sword_i00	95	1560	51	0	0	7	1	1	LineageWeapons.long_sword_m00_wp		1	LineageWeaponsTex.long_sword_t00_wp		4	ItemSound.public_sword_shing_8	ItemSound.sword_big_2	ItemSound.sword_small_3	ItemSound.sword_great_4	ItemSound.itemdrop_sword	ItemSound.itemequip_sword		10	24	17	1	0	8	0	0	0	0	379	0	2	2	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		1.25000000	0.60000002	0.60000002	11.50000000	0.00000000	0.00000000						
0	3	1	1	7	10	0	LineageWeapons.broad_sword_m00_wp	LineageWeaponsTex.broad_sword_t00_wp					icon.weapon_broad_sword_i00	95	1590	8	0	0	7	1	1	LineageWeapons.broad_sword_m00_wp		1	LineageWeaponsTex.broad_sword_t00_wp		4	ItemSound.sword_small_2	ItemSound.sword_mid_6	ItemSound.sword_mid_4	ItemSound.public_sword_shing_10	ItemSound.itemdrop_sword	ItemSound.itemequip_sword		10	11	9	1	0	8	0	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		1.20000005	0.60000002	0.60000002	12.00000000	0.00000000	0.00000000						
0	4	3	1	15	10	0	LineageWeapons.club_m00_wp	LineageWeaponsTex.club_t00_wp					icon.weapon_club_i00	95	1870	13	0	0	7	1	1	LineageWeapons.club_m00_wp		1	LineageWeaponsTex.club_t00_wp		4	ItemSound.mace_1	ItemSound.mace_2	ItemSound.axe_6	ItemSound.hammer_3	ItemSound.itemdrop_weapon_club_mace	ItemSound.itemequip_weapon_blunt		20	8	6	2	0	4	4	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.80000001	0.50000000	0.50000000	11.00000000	0.00000000	0.00000000						
0	5	3	1	15	10	0	LineageWeapons.mace_m00_wp	LineageWeaponsTex.mace_t00_wp					icon.weapon_mace_i00	95	1880	8	0	0	7	1	1	LineageWeapons.mace_m00_wp		1	LineageWeaponsTex.mace_t00_wp		4	ItemSound.hammer_1	ItemSound.club_2	ItemSound.staff_3	ItemSound.club_3	ItemSound.itemdrop_weapon_blunt	ItemSound.itemequip_blunt		20	11	9	2	0	4	4	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.60000002	0.60000002	0.60000002	20.00000000	0.00000000	0.00000000						
0	6	3	1	15	10	0	LineageWeapons.apprentices_wand_m00_wp	LineageWeaponsTex.apprentices_wand_t00_wp					icon.weapon_apprentices_wand_i00	95	1350	8	0	0	7	1	1	LineageWeapons.apprentices_wand_m00_wp		1	LineageWeaponsTex.apprentices_wand_t00_wp		4	ItemSound.staff_3	ItemSound.mace_2	ItemSound.club_3	ItemSound.spear_2	ItemSound.itemdrop_weapon_club_mace	ItemSound.itemequip_weapon_blunt		20	5	7	2	0	4	4	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.69999999	0.69999999	0.69999999	20.00000000	0.00000000	0.00000000						
0	7	3	1	15	5	0	LineageWeapons.apprentices_rod_m00_wp	LineageWeaponsTex.apprentices_rod_t00_wp					icon.weapon_apprentices_rod_i00	95	1330	13	0	0	7	1	1	LineageWeapons.apprentices_rod_m00_wp		1	LineageWeaponsTex.apprentices_rod_t00_wp		4	ItemSound.staff_3	ItemSound.mace_2	ItemSound.club_3	ItemSound.spear_3	ItemSound.itemdrop_staff	ItemSound.itemequip_staff		20	6	8	2	0	4	4	0	0	0	379	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.69999999	0.69999999	0.69999999	21.00000000	0.00000000	0.00000000						
0	8	3	1	15	5	0	LineageWeapons.willow_staff_m00_wp	LineageWeaponsTex.willow_staff_t00_wp					icon.weapon_willow_staff_i00	95	1080	13	0	0	14	4	1	LineageWeapons.willow_staff_m00_wp		1	LineageWeaponsTex.willow_staff_t00_wp		4	ItemSound.hammer_1	ItemSound.staff_2	ItemSound.spear_6	ItemSound.spear_9	ItemSound.itemdrop_staff	ItemSound.itemequip_staff		20	11	12	2	0	4	4	0	0	0	325	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.69999999	0.69999999	0.69999999	38.00000000	0.00000000	0.00000000						
0	9	3	1	15	5	0	LineageWeapons.cedar_staff_m00_wp	LineageWeaponsTex.cedar_staff_t00_wp					icon.weapon_cedar_staff_i00	95	1090	13	0	0	14	4	1	LineageWeapons.cedar_staff_m00_wp		1	LineageWeaponsTex.cedar_staff_t00_wp		4	ItemSound.staff_1	ItemSound.staff_2	ItemSound.spear_4	ItemSound.spear_9	ItemSound.itemdrop_staff	ItemSound.itemequip_staff		20	16	16	2	0	4	4	0	0	0	325	0	2	2	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.89999998	0.89999998	0.89999998	31.00000000	-1.00000000	0.00000000						
0	10	1	1	7	15	0	LineageWeapons.dagger_m00_wp	LineageWeaponsTex.dagger_t00_wp					icon.weapon_dagger_i00	95	1160	8	0	0	7	1	1	LineageWeapons.dagger_m00_wp		1	LineageWeaponsTex.dagger_t00_wp		4	ItemSound.public_sword_shing_5	ItemSound.dagger_2	ItemSound.sword_small_6	ItemSound.dagger_6	ItemSound.itemdrop_dagger	ItemSound.itemequip_dagger		5	5	5	3	0	12	-3	0	0	0	433	0	1	1	1000			0.00000000	0.00000000	0.00000000	1.00000000	1.00000000						LineageWeapons.rangesample		0.75000000	0.50000000	0.50000000	11.00000000	-0.50000000	0.00000000						
