tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	npc_speed	UNK_0	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	UNK_0a	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	unk1_tab[5]	unk1_tab[6]	unk1_tab[7]	unk1_tab[8]	unk1_tab[9]	unk1_tab[10]	unk1_tab[11]	unk1_tab[12]	unk1_tab[13]	unk1_tab[14]	unk1_tab[15]	unk1_tab[16]	unk1_tab[17]	unk1_tab[18]	unk1_tab[19]	unk1_tab[20]	unk1_tab[21]	unk1_tab[22]	unk1_tab[23]	unk1_tab[24]	unk1_tab[25]	level_lim_dn	level_lim_up	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
1	LineageMonster.gremlin	LineageMonsters.gremlin_m00	1	LineageMonstersTex.gremlin_t00					0			3	4302	20000	20001								1.00000000	0	1				3	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	MonSound.Hit_Bone_8			3	MonSound.gremlin_dmg_1	MonSound.gremlin_dmg_2	MonSound.gremlin_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
2	LineageMonster.rabbit	LineageMonsters.rabbit_m00	1	LineageMonstersTex.rabbit_t00					0			3	4293	20002	20003								1.00000000	0	1				4	MonSound.Hit_Normal_10	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2		3	MonSound.rabbit_dmg_1	MonSound.rabbit_dmg_2	MonSound.rabbit_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
3	LineageMonster.goblin	LineageMonsters.goblin_m00	2	LineageMonstersTex.goblin_t00	LineageMonstersTex.goblin_t01				0			3	4295	20004	20005								1.00000000	0	3	ItemSound.club_1	ItemSound.fist_2	ItemSound.mace_3	4	MonSound.Hit_Wet_4	ItemSound.armor_leather_7	MonSound.Hit_Wet_3	MonSound.Hit_Bone_6		3	MonSound.goblin_dmg_1	MonSound.goblin_dmg_2	MonSound.goblin_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
4	LineageMonster.imp	LineageMonsters.imp_m00	2	LineageMonstersTex.imp_t00	LineageMonstersTex.imp_t01				0			5	4302	4281	4276	20006	20007						1.00000000	0	1				5	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_metal_alt_3	MonSound.Hit_Bone_6	3	MonSound.imp_dmg_1	MonSound.imp_dmg_2	MonSound.imp_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
5	LineageMonster.imp	LineageMonsters.imp_m00	2	LineageMonstersTex.imp_t00	LineageMonstersTex.imp_t01				0			5	4302	4281	4276	20008	20009						1.00000000	0	1				5	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_metal_alt_3	MonSound.Hit_Bone_6	3	MonSound.imp_dmg_1	MonSound.imp_dmg_2	MonSound.imp_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
6	LineageMonster.orc_archer	LineageMonsters.orc_archer_m00	2	LineageMonstersTex.orc_archer_t00	LineageMonstersTex.orc_archer_t01				0			3	4295	20010	20011								1.00000000	0	3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	3	MonSound.Hit_normal_3	ItemSound.armor_leather_1	MonSound.Hit_Normal_10			3	MonSound.orc_archer_dmg_1	MonSound.orc_archer_dmg_2	MonSound.orc_archer_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
7	LineageMonster.walking_fungus	LineageMonsters.walking_fungus_m00	1	LineageMonstersTex.walking_fungus_t00					0			5	4294	4279	4277	20012	20013						1.00000000	0	1				3	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_5			3	MonSound.walking_fungus_dmg_1	MonSound.walking_fungus_dmg_2	MonSound.walking_fungus_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
8	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			3	4295	20014	20015								1.00000000	0	3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_dmg_1	MonSound.v_lizard_dmg_2	MonSound.v_lizard_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
9	LineageMonster.orc	LineageMonsters.orc_m00	2	LineageMonstersTex.orc_t00	LineageMonstersTex.orc_t01				0			3	4295	20016	20017								1.00000000	0	1				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Normal_4	MonSound.Hit_Bone_5		3	MonSound.orc_dmg_1	MonSound.orc_dmg_2	MonSound.orc_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
10	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			3	4295	20018	20019								1.00000000	0	3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
11	LineageMonster.orc_archer	LineageMonsters.orc_archer_m00	2	LineageMonstersTex.orc_archer_t00	LineageMonstersTex.orc_archer_t01				0			3	4295	20020	20021								1.00000000	0	3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	3	MonSound.Hit_normal_3	ItemSound.armor_leather_1	MonSound.Hit_Normal_10			3	MonSound.orc_archer_dmg_1	MonSound.orc_archer_dmg_2	MonSound.orc_archer_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
12	LineageMonster.werewolf	LineageMonsters.werewolf_m00	2	LineageMonstersTex.werewolf_t00	LineageMonstersTex.werewolf_t01				0			3	4295	20022	20023								1.00000000	0	3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	MonSound.Hit_Normal_11	MonSound.Hit_Metal_1	MonSound.Hit_Metal_Clang_2	MonSound.Hit_normal_12		3	MonSound.werewolf_dmg_1	MonSound.werewolf_dmg_2	MonSound.werewolf_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
13	LineageMonster.dryad	LineageMonsters.dryad_m00	2	LineageMonstersTex.dryad_t00	LineageMonstersTex.dryad_t01				0			5	4296	4279	4277	20024	20025						1.00000000	0	1				4	ItemSound.armor_leather_2	MonSound.Hit_Wet_3	MonSound.Hit_Normal_8	MonSound.Hit_Wood_4		3	MonSound.dryad_dmg_1	MonSound.dryad_dmg_2	MonSound.dryad_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
14	LineageMonster.virud_lizardman_warrior	LineageMonsters.virud_lizardman_warrior_m00	2	LineageMonstersTex.virud_lizardman_warrior_t00	LineageMonstersTex.virud_lizardman_warrior_t01				0			3	4295	20026	20027								1.00000000	0	3	ItemSound.spear_3	ItemSound.sword_great_2	ItemSound.hammer_2	4	ItemSound.armor_metal_alt_2	MonSound.Hit_Shell_1	ItemSound.shield_steel_3	MonSound.Hit_Wet_5		3	MonSound.v_lizard_warrior_dmg_1	MonSound.v_lizard_warrior_dmg_2	MonSound.v_lizard_warrior_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
15	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20028	20029			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
16	LineageMonster.stone_golem	LineageMonsters.stone_golem_m00	2	LineageMonstersTex.stone_golem_t00	LineageMonstersTex.stone_golem_t01				0			8	4291	4071	4273	4274	4116	4284	20030	20031			1.00000000	0	1				5	MonSound.Hit_Stone_1	MonSound.Hit_Stone_2	MonSound.Hit_Shell_4	MonSound.Hit_Normal_1	MonSound.Hit_Stone_3	3	MonSound.stone_golem_dmg_1	MonSound.stone_golem_dmg_2	MonSound.stone_golem_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
17	LineageMonster.orc_fighter	LineageMonsters.orc_fighter_m00	2	LineageMonstersTex.orc_fighter_t00	LineageMonstersTex.orc_fighter_t01				0			3	4295	20032	20033								1.00000000	0	3	ItemSound.sword_great_2	ItemSound.sword_big_5	ItemSound.spear_4	4	MonSound.Hit_Wet_4	MonSound.Hit_Shell_1	MonSound.Hit_Normal_10	MonSound.Hit_Metal_clang_10		3	MonSound.orc_fighter_dmg_1	MonSound.orc_fighter_dmg_2	MonSound.orc_fighter_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
18	LineageMonster.walking_fungus	LineageMonsters.walking_fungus_m00	1	LineageMonstersTex.walking_fungus_t00					0			5	4294	4279	4277	20034	20035						1.00000000	0	1				3	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_5			3	MonSound.walking_fungus_dmg_1	MonSound.walking_fungus_dmg_2	MonSound.walking_fungus_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
19	LineageMonster.dryad	LineageMonsters.dryad_m00	2	LineageMonstersTex.dryad_t00	LineageMonstersTex.dryad_t01				0			5	4296	4279	4277	20036	20037						1.00000000	0	1				4	ItemSound.armor_leather_2	MonSound.Hit_Wet_3	MonSound.Hit_Normal_8	MonSound.Hit_Wood_4		3	MonSound.mandragora_b_dmg_1	MonSound.mandragora_b_dmg_2	MonSound.mandragora_b_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
20	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20038	20039			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
21	LineageMonster.grizzly	LineageMonsters.grizzly_m00	1	LineageMonstersTex.grizzly_t00					0			3	4293	20040	20041								1.00000000	0	1				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Wet_3	MonSound.Hit_Bone_5		3	MonSound.grizzly_dmg_1	MonSound.grizzly_dmg_2	MonSound.grizzly_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
22	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			6	4290	4275	4278	4274	20042	20043					1.00000000	0	3	ItemSound.hammer_1	ItemSound.spear_4	ItemSound.sword_big_5	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
23	LineageMonster.onyx_beast	LineageMonsters.onyx_beast_m00	1	LineageMonstersTex.onyx_beast_t00					0			3	4292	20044	20045								1.00000000	0	1				4	MonSound.Hit_Soul_8	MonSound.Hit_Metal_17	MonSound.Hit_normal_9	MonSound.Hit_Stone_3		3	MonSound.onyx_beast_dmg_1	MonSound.onyx_beast_dmg_2	MonSound.onyx_beast_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
24	LineageMonster.virud_lizardman_warrior	LineageMonsters.virud_lizardman_warrior_m00	2	LineageMonstersTex.virud_lizardman_warrior_t00	LineageMonstersTex.virud_lizardman_warrior_t01				0			3	4295	20046	20047								1.00000000	0	3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	4	ItemSound.armor_metal_alt_2	MonSound.Hit_Shell_1	ItemSound.shield_steel_3	MonSound.Hit_Wet_5		3	MonSound.v_lizard_warrior_dmg_1	MonSound.v_lizard_warrior_dmg_2	MonSound.v_lizard_warrior_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
25	LineageMonster.dark_horror	LineageMonsters.dark_horror_m00	1	LineageMonstersTex.dark_horror_t00					0			5	4290	4275	4278	20048	20049						1.00000000	0	1				4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.dark_horror_dmg_1	MonSound.dark_horror_dmg_2	MonSound.dark_horror_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
26	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20050	20051			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
27	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			3	4295	20052	20053								1.00000000	0	3	ItemSound.sword_big_9	ItemSound.spear_2	ItemSound.sword_mid_9	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
28	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			3	4301	20054	20055								1.00000000	0	1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
29	LineageMonster.zombie	LineageMonsters.zombie_m00	2	LineageMonstersTex.zombie_t00	LineageMonstersTex.zombie_t01				0			8	4290	4275	4278	4071	4116	4284	20056	20057			1.00000000	0	1				5	MonSound.Hit_Wet_1	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_4	MonSound.Hit_Normal_1	3	MonSound.zombie_dmg_1	MonSound.zombie_dmg_2	MonSound.zombie_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
30	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			3	4295	20058	20059								1.00000000	0	3	ItemSound.sword_big_2	ItemSound.sword_great_2	ItemSound.spear_3	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_dmg_1	MonSound.v_lizard_dmg_2	MonSound.v_lizard_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
31	LineageMonster.onyx_beast	LineageMonsters.onyx_beast_m00	1	LineageMonstersTex.onyx_beast_t00					0			3	4292	20060	20061								1.00000000	0	1				4	MonSound.Hit_Soul_8	MonSound.Hit_Metal_17	MonSound.Hit_normal_9	MonSound.Hit_Stone_3		3	MonSound.onyx_beast_dmg_1	MonSound.onyx_beast_dmg_2	MonSound.onyx_beast_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
32	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			4	4301	4279	20062	20063							1.00000000	0	1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
33	LineageMonster.dark_horror	LineageMonsters.dark_horror_m00	1	LineageMonstersTex.dark_horror_t00					0			5	4290	4275	4278	20064	20065						1.00000000	0	1				4	MonSound.Hit_Soul_1	MonSound.Hit_Soul_2	MonSound.Hit_Soul_3	MonSound.Hit_Soul_4		3	MonSound.dark_horror_dmg_1	MonSound.dark_horror_dmg_2	MonSound.dark_horror_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
34	LineageMonster.giant_spider	LineageMonsters.giant_spider_m00	2	LineageMonstersTex.giant_spider_t00	LineageMonstersTex.giant_spider_t01				0			4	4301	4279	20066	20067							1.00000000	0	1				4	MonSound.Hit_Wet_2	MonSound.Hit_Shell_1	ItemSound.armor_leather_2	MonSound.Hit_bone_7		3	MonSound.g_spider_dmg_1	MonSound.g_spider_dmg_2	MonSound.g_spider_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
35	LineageMonster.skeleton	LineageMonsters.skeleton_m00	2	LineageMonstersTex.skeleton_t00	LineageMonstersTex.skeleton_t01				0			6	4290	4275	4278	4274	20068	20069					1.00000000	0	3	ItemSound.hammer_1	ItemSound.sword_big_2	ItemSound.sword_mid_9	5	MonSound.Hit_bone_1	MonSound.Hit_Bone_4	MonSound.Hit_bone_7	MonSound.Hit_Bone_8	ItemSound.Armor_bone_3	3	MonSound.skeleton_dmg_1	MonSound.skeleton_dmg_2	MonSound.skeleton_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
36	LineageMonster.sylph	LineageMonsters.sylph_m00	2	LineageMonstersTex.sylph_t00	LineageMonstersTex.sylph_t01				0			5	4296	4011	4282	20070	20071						1.00000000	0	1				3	MonSound.Hit_Soul_5	MonSound.Hit_Soul_6	MonSound.Hit_Soul_8			3	MonSound.sylph_dmg_1	MonSound.sylph_dmg_2	MonSound.sylph_dmg_3	0	0																											0	0	LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	0
