id	level	name	description	desc_add1	desc_add2
3	1	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 25. \0	a,none\0	a,none\0
3	2	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 27. \0	a,none\0	a,none\0
3	3	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 30. \0	a,none\0	a,none\0
3	4	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 39. \0	a,none\0	a,none\0
3	5	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 42. \0	a,none\0	a,none\0
3	6	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 46. \0	a,none\0	a,none\0
3	7	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 60. \0	a,none\0	a,none\0
3	8	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 65. \0	a,none\0	a,none\0
3	9	a,Power Strike\0	a,Gathers power for a fierce strike. Used when equipped with a sword or blunt type weapon. Over-hit is possible.  Power 70. \0	a,none\0	a,none\0
4	1	a,Dash\0	a,Temporary burst of speed. Effect 1.\0	a,none\0	a,none\0
4	2	a,Dash\0	a,Temporary burst of speed. Effect 2.\0	a,none\0	a,none\0
16	1	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 73.\0	a,none\0	a,none\0
16	2	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 80.\0	a,none\0	a,none\0
16	3	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 88.\0	a,none\0	a,none\0
16	4	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 115.\0	a,none\0	a,none\0
16	5	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 126.\0	a,none\0	a,none\0
16	6	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 137.\0	a,none\0	a,none\0
16	7	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 178.\0	a,none\0	a,none\0
16	8	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 193.\0	a,none\0	a,none\0
16	9	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 210.\0	a,none\0	a,none\0
16	10	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 268.\0	a,none\0	a,none\0
16	11	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 291.\0	a,none\0	a,none\0
16	12	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 314.\0	a,none\0	a,none\0
16	13	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 367.\0	a,none\0	a,none\0
16	14	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 396.\0	a,none\0	a,none\0
16	15	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 427.\0	a,none\0	a,none\0
16	16	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 494.\0	a,none\0	a,none\0
16	17	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 531.\0	a,none\0	a,none\0
16	18	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 571.\0	a,none\0	a,none\0
16	19	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 656.\0	a,none\0	a,none\0
16	20	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 703.\0	a,none\0	a,none\0
16	21	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 752.\0	a,none\0	a,none\0
16	22	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 859.\0	a,none\0	a,none\0
16	23	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 916.\0	a,none\0	a,none\0
16	24	a,Mortal Blow\0	a,Potentially deadly attack upon the enemy. This skill can be used when equipped with a dagger. Power 977.\0	a,none\0	a,none\0
21	1	a,Poison Recovery\0	a,Self-cures poison. Effect less than 3.\0	a,none\0	a,none\0
21	2	a,Poison Recovery\0	a,Self-cures poison. Effect less than 7.\0	a,none\0	a,none\0
21	3	a,Poison Recovery\0	a,Self-cures poison. Effect less than 9.\0	a,none\0	a,none\0
28	1	a,Aggression\0	a,Provokes opponent's desire to attack. Power 655.\0	a,none\0	a,none\0
28	2	a,Hate\0	a,Provokes one's opponent's desire to attack. Power 679.\0	a,none\0	a,none\0
28	3	a,Hate\0	a,Provokes one's opponent's desire to attack. Power 703.\0	a,none\0	a,none\0
28	4	a,Aggression\0	a,Provokes opponent's desire to attack. Power 752.\0	a,none\0	a,none\0
28	5	a,Aggression\0	a,Provokes opponent's desire to attack. Power 777.\0	a,none\0	a,none\0
28	6	a,Aggression\0	a,Provokes opponent's desire to attack. Power 803.\0	a,none\0	a,none\0
28	7	a,Aggression\0	a,Provokes opponent's desire to attack. Power 855.\0	a,none\0	a,none\0
28	8	a,Aggression\0	a,Provokes opponent's desire to attack. Power 882.\0	a,none\0	a,none\0
28	9	a,Aggression\0	a,Provokes opponent's desire to attack. Power 909.\0	a,none\0	a,none\0
28	10	a,Aggression\0	a,Provokes opponent's desire to attack. Power 965.\0	a,none\0	a,none\0
28	11	a,Aggression\0	a,Provokes opponent's desire to attack. Power 993.\0	a,none\0	a,none\0
28	12	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1021.\0	a,none\0	a,none\0
28	13	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1078.\0	a,none\0	a,none\0
28	14	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1107.\0	a,none\0	a,none\0
28	15	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1136.\0	a,none\0	a,none\0
28	16	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1166.\0	a,none\0	a,none\0
28	17	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1195.\0	a,none\0	a,none\0
28	18	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1224.\0	a,none\0	a,none\0
28	19	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1254.\0	a,none\0	a,none\0
28	20	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1283.\0	a,none\0	a,none\0
28	21	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1312.\0	a,none\0	a,none\0
28	22	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1342.\0	a,none\0	a,none\0
28	23	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1371.\0	a,none\0	a,none\0
28	24	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1400.\0	a,none\0	a,none\0
28	25	a,Hate\0	a,Provokes one's opponent's desire to attack. Power 1492.\0	a,none\0	a,none\0
28	26	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1457.\0	a,none\0	a,none\0
28	27	a,Aggression\0	a,Provokes opponent's desire to attack. Power 1485.\0	a,none\0	a,none\0
