nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name
0	0	0	0	30000.00000000	-30000.00000000	a,Neutral Waterways\0
1	1	0	0	30000.00000000	-30000.00000000	a,Talking Island\0
2	2	0	0	30000.00000000	-30000.00000000	a,Gludio Territory\0
3	3	0	0	30000.00000000	-30000.00000000	a,Dion Territory\0
4	4	0	0	30000.00000000	-30000.00000000	a,Giran Territory\0
5	5	0	0	30000.00000000	-30000.00000000	a,Dark Forest\0
6	6	0	0	30000.00000000	-30000.00000000	a,Elven Forest\0
7	7	0	0	30000.00000000	-30000.00000000	a,Oren Territory\0
8	8	0	0	30000.00000000	-30000.00000000	a,Aden Territory\0
9	9	0	0	30000.00000000	-30000.00000000	a,Innadril Territory\0
10	10	0	0	30000.00000000	-30000.00000000	a,Misty Mountains\0
11	11	0	0	30000.00000000	-30000.00000000	a,Neutral Zone\0
12	12	0	0	30000.00000000	-30000.00000000	a,Dragon Valley\0
13	13	0	0	30000.00000000	-30000.00000000	a,Lyonn Territory\0
14	14	0	0	30000.00000000	-30000.00000000	a,Schuttgart Territory\0
15	15	0	0	30000.00000000	-30000.00000000	a,Wasteland\0
16	252	18	21	30000.00000000	-30000.00000000	a,Fellmere Lake\0
17	254	19	23	-4224.00000000	-7520.00000000	a,The Ant Nest\0
18	251	17	22	30000.00000000	-30000.00000000	a,Arena\0
19	254	19	21	30000.00000000	-30000.00000000	a,Gludio Castle\0
20	255	19	21	30000.00000000	-30000.00000000	a,Gludio Castle Town\0
21	255	17	22	30000.00000000	-30000.00000000	a,Gludin Village\0
22	254	17	22	30000.00000000	-30000.00000000	a,Gludin Harbor\0
23	255	18	24	30000.00000000	-4200.00000000	a,Langk Lizardman Dwelling\0
24	253	18	23	30000.00000000	-3700.00000000	a,Red Rock Ridge\0
25	253	19	21	30000.00000000	-30000.00000000	a,Maille Lizardman Barracks\0
26	253	17	20	30000.00000000	-4200.00000000	a,Windy Hill\0
27	255	18	21	30000.00000000	-30000.00000000	a,Ruins of Agony\0
28	254	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0
29	255	19	22	30000.00000000	-30000.00000000	a,Ruins of Despair\0
30	255	17	21	30000.00000000	-30000.00000000	a,Orc Barracks\0
31	255	18	22	30000.00000000	-30000.00000000	a,Abandoned Camp\0
32	255	21	25	-4874.00000000	-6874.00000000	a,Elven Ruins\0
33	255	16	25	30000.00000000	-30000.00000000	a,Elven Ruins\0
34	255	21	25	30000.00000000	-6873.00000000	a,Neutral Waterways\0
35	255	17	25	30000.00000000	-30000.00000000	a,Talking Island Village\0
36	253	17	25	30000.00000000	-30000.00000000	a,Cedric's Training Hall\0
37	254	17	25	30000.00000000	-30000.00000000	a,Einhovant's School of Magic\0
38	253	16	25	30000.00000000	-30000.00000000	a,Obelisk of Victory\0
39	254	16	25	30000.00000000	-30000.00000000	a,Singing Waterfall\0
40	252	17	25	30000.00000000	-30000.00000000	a,Talking Island Harbor\0
41	253	22	22	30000.00000000	-30000.00000000	a,Arena\0
42	255	23	22	30000.00000000	-30000.00000000	a,Giran Castle\0
43	255	22	22	30000.00000000	-30000.00000000	a,Giran Castle Town\0
44	255	21	23	30000.00000000	-30000.00000000	a,Giran Harbor\0
45	255	24	21	30000.00000000	-30000.00000000	a,Lair of Antharas\0
46	255	22	21	30000.00000000	-30000.00000000	a,Death Pass\0
47	254	20	22	30000.00000000	-30000.00000000	a,Dion Castle\0
48	255	20	22	30000.00000000	-30000.00000000	a,Dion Castle Town\0
49	252	20	23	30000.00000000	-30000.00000000	a,Monster Derby Track\0
50	255	21	21	30000.00000000	-30000.00000000	a,Partisan Hideaway\0
51	255	21	22	30000.00000000	-30000.00000000	a,Execution Ground\0
52	253	20	21	30000.00000000	-4407.00000000	a,Cruma Marshlands\0
53	255	20	21	30000.00000000	-30000.00000000	a,Cruma Marshlands\0
54	254	20	21	30000.00000000	-4407.00000000	a,Cruma Tower\0
55	253	20	21	-4408.00000000	-14036.00000000	a,Cruma Tower Dungeon\0
56	254	20	21	-4408.00000000	-30000.00000000	a,Cruma Tower Dungeon\0
57	254	21	22	30000.00000000	-30000.00000000	a,Tanor Canyon\0
58	255	20	23	30000.00000000	-30000.00000000	a,Floran Village\0
59	253	20	23	30000.00000000	-30000.00000000	a,Bee Hive\0
60	255	20	14	-1952.00000000	-3952.00000000	a,Cave of Trials\0
61	255	20	13	30000.00000000	-30000.00000000	a,Frozen Waterfalls\0
62	255	18	14	30000.00000000	-30000.00000000	a,Orc Village\0
63	254	18	14	30000.00000000	-30000.00000000	a,Temple of Paagrio\0
64	254	23	12	30000.00000000	-30000.00000000	a,Dwarven Village\0
65	255	25	12	4224.00000000	-4810.00000000	a,Mithril Mines\0
66	255	24	12	3424.00000000	-2704.00000000	a,Abandoned Coal Mines\0
67	255	23	12	30000.00000000	-30000.00000000	a,Strip Mine\0
68	255	24	20	30000.00000000	-30000.00000000	a,The Forest of Mirrors\0
69	255	25	19	30000.00000000	-30000.00000000	a,The Giants Cave\0
70	254	25	19	-5172.00000000	-30000.00000000	a,Silent Valley\0
71	255	25	18	30000.00000000	-30000.00000000	a,The Cemetery\0
72	255	24	19	30000.00000000	-30000.00000000	a,Narsell Lake\0
73	253	25	19	30000.00000000	-30000.00000000	a,Forsaken Plains\0
